# Cat: 猫咪_001
# Action: 跳跃
# FPS: 60
# Frames: 240
# Generated: 2026-06-07T02:05:35.647Z
frame,root_x,root_y,root_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,spine1_x,spine1_y,spine1_z,spine1_rot_x,spine1_rot_y,spine1_rot_z,spine1_rot_w,spine2_x,spine2_y,spine2_z,spine2_rot_x,spine2_rot_y,spine2_rot_z,spine2_rot_w,spine3_x,spine3_y,spine3_z,spine3_rot_x,spine3_rot_y,spine3_rot_z,spine3_rot_w,neck_x,neck_y,neck_z,neck_rot_x,neck_rot_y,neck_rot_z,neck_rot_w,head_x,head_y,head_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,jaw_x,jaw_y,jaw_z,jaw_rot_x,jaw_rot_y,jaw_rot_z,jaw_rot_w,ear_left_x,ear_left_y,ear_left_z,ear_left_rot_x,ear_left_rot_y,ear_left_rot_z,ear_left_rot_w,ear_right_x,ear_right_y,ear_right_z,ear_right_rot_x,ear_right_rot_y,ear_right_rot_z,ear_right_rot_w,shoulder_left_x,shoulder_left_y,shoulder_left_z,shoulder_left_rot_x,shoulder_left_rot_y,shoulder_left_rot_z,shoulder_left_rot_w,elbow_left_x,elbow_left_y,elbow_left_z,elbow_left_rot_x,elbow_left_rot_y,elbow_left_rot_z,elbow_left_rot_w,wrist_left_x,wrist_left_y,wrist_left_z,wrist_left_rot_x,wrist_left_rot_y,wrist_left_rot_z,wrist_left_rot_w,paw_left_x,paw_left_y,paw_left_z,paw_left_rot_x,paw_left_rot_y,paw_left_rot_z,paw_left_rot_w,shoulder_right_x,shoulder_right_y,shoulder_right_z,shoulder_right_rot_x,shoulder_right_rot_y,shoulder_right_rot_z,shoulder_right_rot_w,elbow_right_x,elbow_right_y,elbow_right_z,elbow_right_rot_x,elbow_right_rot_y,elbow_right_rot_z,elbow_right_rot_w,wrist_right_x,wrist_right_y,wrist_right_z,wrist_right_rot_x,wrist_right_rot_y,wrist_right_rot_z,wrist_right_rot_w,paw_right_x,paw_right_y,paw_right_z,paw_right_rot_x,paw_right_rot_y,paw_right_rot_z,paw_right_rot_w,hip_left_x,hip_left_y,hip_left_z,hip_left_rot_x,hip_left_rot_y,hip_left_rot_z,hip_left_rot_w,knee_left_x,knee_left_y,knee_left_z,knee_left_rot_x,knee_left_rot_y,knee_left_rot_z,knee_left_rot_w,ankle_left_x,ankle_left_y,ankle_left_z,ankle_left_rot_x,ankle_left_rot_y,ankle_left_rot_z,ankle_left_rot_w,foot_left_x,foot_left_y,foot_left_z,foot_left_rot_x,foot_left_rot_y,foot_left_rot_z,foot_left_rot_w,hip_right_x,hip_right_y,hip_right_z,hip_right_rot_x,hip_right_rot_y,hip_right_rot_z,hip_right_rot_w,knee_right_x,knee_right_y,knee_right_z,knee_right_rot_x,knee_right_rot_y,knee_right_rot_z,knee_right_rot_w,ankle_right_x,ankle_right_y,ankle_right_z,ankle_right_rot_x,ankle_right_rot_y,ankle_right_rot_z,ankle_right_rot_w,foot_right_x,foot_right_y,foot_right_z,foot_right_rot_x,foot_right_rot_y,foot_right_rot_z,foot_right_rot_w,tail1_x,tail1_y,tail1_z,tail1_rot_x,tail1_rot_y,tail1_rot_z,tail1_rot_w,tail2_x,tail2_y,tail2_z,tail2_rot_x,tail2_rot_y,tail2_rot_z,tail2_rot_w,tail3_x,tail3_y,tail3_z,tail3_rot_x,tail3_rot_y,tail3_rot_z,tail3_rot_w,tail4_x,tail4_y,tail4_z,tail4_rot_x,tail4_rot_y,tail4_rot_z,tail4_rot_w,tail5_x,tail5_y,tail5_z,tail5_rot_x,tail5_rot_y,tail5_rot_z,tail5_rot_w
0,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.170000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.270000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.320000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.370000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.420000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.020000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.020000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.020000,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.020000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.097000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.997000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.897000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.797000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.747000,1.700000,0.000000,0.000000,0.000000,1.000000
1,0.000000,0.983088,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.183088,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.283088,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.333088,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.383088,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.433088,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.030471,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.030471,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.030471,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.030471,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.107465,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.007465,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.907465,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.807465,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.757465,1.700000,0.000000,0.000000,0.000000,1.000000
2,0.000000,0.996168,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.196168,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.296168,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.346168,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.396168,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.446168,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.040934,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.040934,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.040934,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.040934,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.117848,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.017848,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.917848,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.817848,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.767848,1.700000,0.000000,0.000000,0.000000,1.000000
3,0.000000,1.009230,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.209230,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.309230,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.359230,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.409230,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.459230,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.051384,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.051384,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.051384,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.051384,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.128035,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.028035,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.928035,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.828035,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.778035,1.700000,0.000000,0.000000,0.000000,1.000000
4,0.000000,1.022264,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.222264,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.322264,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.372264,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.422264,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.472264,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.061811,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.061811,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.061811,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.061811,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.137915,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.037915,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.937915,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.837915,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.787915,1.700000,0.000000,0.000000,0.000000,1.000000
5,0.000000,1.035263,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.235263,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.335263,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.385263,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.435263,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.485263,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.072210,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.072210,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.072210,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.072210,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.147380,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.047380,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.947380,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.847380,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.797380,1.700000,0.000000,0.000000,0.000000,1.000000
6,0.000000,1.048217,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.248217,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.348217,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.398217,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.448217,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.498217,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.082574,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.082574,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.082574,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.082574,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.156325,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.056325,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.956325,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.856325,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.806325,1.700000,0.000000,0.000000,0.000000,1.000000
7,0.000000,1.061118,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.261118,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.361118,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.411118,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.461118,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.511118,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.092894,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.092894,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.092894,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.092894,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.164654,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.064654,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.964654,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.864654,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.814654,1.700000,0.000000,0.000000,0.000000,1.000000
8,0.000000,1.073956,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.273956,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.373956,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.423956,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.473956,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.523956,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.103165,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.103165,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.103165,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.103165,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.172274,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.072274,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.972274,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.872274,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.822274,1.700000,0.000000,0.000000,0.000000,1.000000
9,0.000000,1.086723,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.286723,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.386723,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.436723,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.486723,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.536723,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.113378,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.113378,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.113378,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.113378,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.179102,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.079102,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.979102,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.879102,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.829102,1.700000,0.000000,0.000000,0.000000,1.000000
