# Cat: 猫咪_005
# Action: 坐下
# FPS: 60
# Frames: 240
# Generated: 2026-06-07T02:05:36.649Z
frame,root_x,root_y,root_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,spine1_x,spine1_y,spine1_z,spine1_rot_x,spine1_rot_y,spine1_rot_z,spine1_rot_w,spine2_x,spine2_y,spine2_z,spine2_rot_x,spine2_rot_y,spine2_rot_z,spine2_rot_w,spine3_x,spine3_y,spine3_z,spine3_rot_x,spine3_rot_y,spine3_rot_z,spine3_rot_w,neck_x,neck_y,neck_z,neck_rot_x,neck_rot_y,neck_rot_z,neck_rot_w,head_x,head_y,head_z,head_rot_x,head_rot_y,head_rot_z,head_rot_w,jaw_x,jaw_y,jaw_z,jaw_rot_x,jaw_rot_y,jaw_rot_z,jaw_rot_w,ear_left_x,ear_left_y,ear_left_z,ear_left_rot_x,ear_left_rot_y,ear_left_rot_z,ear_left_rot_w,ear_right_x,ear_right_y,ear_right_z,ear_right_rot_x,ear_right_rot_y,ear_right_rot_z,ear_right_rot_w,shoulder_left_x,shoulder_left_y,shoulder_left_z,shoulder_left_rot_x,shoulder_left_rot_y,shoulder_left_rot_z,shoulder_left_rot_w,elbow_left_x,elbow_left_y,elbow_left_z,elbow_left_rot_x,elbow_left_rot_y,elbow_left_rot_z,elbow_left_rot_w,wrist_left_x,wrist_left_y,wrist_left_z,wrist_left_rot_x,wrist_left_rot_y,wrist_left_rot_z,wrist_left_rot_w,paw_left_x,paw_left_y,paw_left_z,paw_left_rot_x,paw_left_rot_y,paw_left_rot_z,paw_left_rot_w,shoulder_right_x,shoulder_right_y,shoulder_right_z,shoulder_right_rot_x,shoulder_right_rot_y,shoulder_right_rot_z,shoulder_right_rot_w,elbow_right_x,elbow_right_y,elbow_right_z,elbow_right_rot_x,elbow_right_rot_y,elbow_right_rot_z,elbow_right_rot_w,wrist_right_x,wrist_right_y,wrist_right_z,wrist_right_rot_x,wrist_right_rot_y,wrist_right_rot_z,wrist_right_rot_w,paw_right_x,paw_right_y,paw_right_z,paw_right_rot_x,paw_right_rot_y,paw_right_rot_z,paw_right_rot_w,hip_left_x,hip_left_y,hip_left_z,hip_left_rot_x,hip_left_rot_y,hip_left_rot_z,hip_left_rot_w,knee_left_x,knee_left_y,knee_left_z,knee_left_rot_x,knee_left_rot_y,knee_left_rot_z,knee_left_rot_w,ankle_left_x,ankle_left_y,ankle_left_z,ankle_left_rot_x,ankle_left_rot_y,ankle_left_rot_z,ankle_left_rot_w,foot_left_x,foot_left_y,foot_left_z,foot_left_rot_x,foot_left_rot_y,foot_left_rot_z,foot_left_rot_w,hip_right_x,hip_right_y,hip_right_z,hip_right_rot_x,hip_right_rot_y,hip_right_rot_z,hip_right_rot_w,knee_right_x,knee_right_y,knee_right_z,knee_right_rot_x,knee_right_rot_y,knee_right_rot_z,knee_right_rot_w,ankle_right_x,ankle_right_y,ankle_right_z,ankle_right_rot_x,ankle_right_rot_y,ankle_right_rot_z,ankle_right_rot_w,foot_right_x,foot_right_y,foot_right_z,foot_right_rot_x,foot_right_rot_y,foot_right_rot_z,foot_right_rot_w,tail1_x,tail1_y,tail1_z,tail1_rot_x,tail1_rot_y,tail1_rot_z,tail1_rot_w,tail2_x,tail2_y,tail2_z,tail2_rot_x,tail2_rot_y,tail2_rot_z,tail2_rot_w,tail3_x,tail3_y,tail3_z,tail3_rot_x,tail3_rot_y,tail3_rot_z,tail3_rot_w,tail4_x,tail4_y,tail4_z,tail4_rot_x,tail4_rot_y,tail4_rot_z,tail4_rot_w,tail5_x,tail5_y,tail5_z,tail5_rot_x,tail5_rot_y,tail5_rot_z,tail5_rot_w
0,0.000000,1.010000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.210000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.310000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.360000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.410000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.460000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.050000,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.100000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.600000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.200000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.050000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
1,0.000000,1.007500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.207500,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.307500,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.357500,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.407500,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.457500,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.096667,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.596667,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.196667,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.046667,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.096667,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.596667,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.196667,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.046667,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
2,0.000000,1.005000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.205000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.305000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.355000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.405000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.455000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.093333,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.593333,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.193333,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.043333,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.093333,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.593333,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.193333,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.043333,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
3,0.000000,1.002500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.202500,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.302500,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.352500,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.402500,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.452500,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.090000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.590000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.190000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.040000,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.090000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.590000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.190000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.040000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
4,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.200000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.300000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.400000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.450000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.086667,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.586667,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.186667,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.036667,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.086667,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.586667,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.186667,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.036667,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
5,0.000000,0.997500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.197500,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.297500,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.347500,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.397500,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.447500,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.083333,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.583333,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.183333,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.033333,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.083333,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.583333,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.183333,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.033333,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
6,0.000000,0.995000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.195000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.295000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.345000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.395000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.445000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.080000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.580000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.180000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.030000,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.080000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.580000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.180000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.030000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
7,0.000000,0.992500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.192500,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.292500,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.342500,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.392500,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.442500,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.076667,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.576667,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.176667,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.026667,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.076667,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.576667,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.176667,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.026667,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
8,0.000000,0.990000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.190000,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.290000,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.340000,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.390000,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.440000,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.073333,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.573333,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.173333,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.023333,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.073333,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.573333,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.173333,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.023333,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
9,0.000000,0.987500,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.187500,-0.200000,0.000000,0.000000,0.000000,1.000000,0.000000,1.287500,-0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.337500,-0.800000,0.000000,0.000000,0.000000,1.000000,0.000000,1.387500,-1.100000,0.000000,0.000000,0.000000,1.000000,0.000000,1.437500,-1.400000,0.000000,0.000000,0.000000,1.000000,0.000000,1.350000,-1.550000,0.000000,0.000000,0.000000,1.000000,0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,-0.150000,1.650000,-1.350000,0.000000,0.000000,0.000000,1.000000,0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.300000,-0.700000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.800000,-0.650000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.300000,-0.600000,0.000000,0.000000,0.000000,1.000000,-0.400000,0.050000,-0.580000,0.000000,0.000000,0.000000,1.000000,0.350000,1.070000,0.300000,0.000000,0.000000,0.000000,1.000000,0.350000,0.570000,0.400000,0.000000,0.000000,0.000000,1.000000,0.300000,0.170000,0.200000,0.000000,0.000000,0.000000,1.000000,0.300000,0.020000,0.080000,0.000000,0.000000,0.000000,1.000000,-0.350000,1.070000,0.300000,0.000000,0.000000,0.000000,1.000000,-0.350000,0.570000,0.400000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.170000,0.200000,0.000000,0.000000,0.000000,1.000000,-0.300000,0.020000,0.080000,0.000000,0.000000,0.000000,1.000000,0.000000,1.100000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.900000,0.000000,0.000000,0.000000,1.000000,0.000000,0.900000,1.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.800000,1.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.750000,1.700000,0.000000,0.000000,0.000000,1.000000
